timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,
1.65547E+12,416,Main menu,200,OK,Idlers 2-2,text,TRUE,,800,113,140,162,http://localhost/,416,0,1,,
1.65547E+12,171,Main menu,200,OK,Idlers 2-83,text,TRUE,,801,113,140,162,http://localhost/,171,0,0,,
1.65547E+12,206,Main menu,200,OK,Idlers 2-73,text,TRUE,,800,113,142,164,http://localhost/,206,0,0,,
1.65547E+12,157,Main menu,200,OK,Idlers 2-90,text,TRUE,,802,113,142,164,http://localhost/,157,0,0,,
1.65547E+12,160,Main menu,200,OK,Idlers 2-88,text,TRUE,,803,113,142,164,http://localhost/,160,0,0,,
1.65547E+12,395,Main menu,200,OK,Idlers 2-11,text,TRUE,,801,113,143,165,http://localhost/,395,0,1,,
1.65547E+12,150,Main menu,200,OK,Idlers 2-93,text,TRUE,,803,113,143,165,http://localhost/,150,0,0,,
1.65547E+12,119,Login,200,OK,Workers 1-17,text,TRUE,,3195,820,22,166,http://localhost/login,118,0,1,,
1.65547E+12,51,Main menu,200,OK,Idlers 2-68,text,TRUE,,1948,132,144,166,http://localhost/userPurchaseHistory,51,0,0,,
1.65547E+12,24,cart,200,OK,Idlers 2-19,text,TRUE,,1843,117,144,167,http://localhost/cart,24,0,0,,
1.65547E+12,2,Main menu,200,OK,Idlers 2-68,text,TRUE,,803,113,145,168,http://localhost/,2,0,0,,
1.65547E+12,126,Main menu,200,OK,Idlers 2-103,text,TRUE,,802,113,145,168,http://localhost/,126,0,1,,
1.65547E+12,281,Login,200,OK,Workers 1-9,text,TRUE,,3192,814,23,168,http://localhost/login,281,0,1,,
1.65547E+12,433,Main menu,200,OK,Idlers 2-3,text,TRUE,,801,113,147,170,http://localhost/,433,0,1,,
1.65547E+12,8,cart,200,OK,Idlers 2-68,text,TRUE,,1843,117,148,171,http://localhost/cart,8,0,0,,
1.65547E+12,125,Main menu,200,OK,Idlers 2-106,text,TRUE,,803,113,148,171,http://localhost/,125,0,1,,
1.65547E+12,313,Main menu,200,OK,Idlers 2-43,text,TRUE,,802,113,148,171,http://localhost/,313,0,0,,
1.65547E+12,9,cart,200,OK,Idlers 2-103,text,TRUE,,1843,117,148,171,http://localhost/cart,9,0,0,,
1.65547E+12,411,Login,200,OK,Workers 1-3,text,TRUE,,3192,829,23,173,http://localhost/login,411,0,0,,
1.65547E+12,8,profile,200,OK,Idlers 2-68,text,TRUE,,3672,120,151,174,http://localhost/profile,8,0,0,,
1.65547E+12,19,profile,200,OK,Idlers 2-19,text,TRUE,,3674,120,151,174,http://localhost/profile,19,0,0,,
1.65547E+12,202,Main menu,200,OK,Idlers 2-84,text,TRUE,,801,113,151,175,http://localhost/,202,0,1,,
1.65547E+12,6,Main menu,200,OK,Idlers 2-68,text,TRUE,,1947,132,152,176,http://localhost/userPurchaseHistory,6,0,0,,
1.65547E+12,374,Login,200,OK,Workers 1-5,text,TRUE,,3192,824,24,177,http://localhost/login,374,0,1,,
1.65547E+12,2,Main menu,200,OK,Idlers 2-68,text,TRUE,,802,113,153,177,http://localhost/,2,0,0,,
1.65547E+12,7,Main menu,200,OK,Idlers 2-19,text,TRUE,,1949,132,153,177,http://localhost/userPurchaseHistory,7,0,0,,
1.65547E+12,318,Main menu,200,OK,Idlers 2-48,text,TRUE,,801,113,153,177,http://localhost/,318,0,0,,
1.65547E+12,2,Main menu,200,OK,Idlers 2-19,text,TRUE,,801,113,153,177,http://localhost/,2,0,0,,
1.65547E+12,236,Main menu,200,OK,Idlers 2-76,text,TRUE,,802,113,153,177,http://localhost/,236,0,0,,
1.65547E+12,331,Main menu,200,OK,Idlers 2-45,text,TRUE,,801,113,153,177,http://localhost/,331,0,0,,
1.65547E+12,143,Main menu,200,OK,Idlers 2-108,text,TRUE,,802,113,153,177,http://localhost/,143,0,1,,
1.65547E+12,253,Main menu,200,OK,Idlers 2-71,text,TRUE,,800,113,153,177,http://localhost/,253,0,0,,
1.65547E+12,334,Main menu,200,OK,Idlers 2-44,text,TRUE,,801,113,154,178,http://localhost/,334,0,0,,
1.65547E+12,195,Main menu,200,OK,Idlers 2-91,text,TRUE,,801,113,155,179,http://localhost/,195,0,1,,
1.65547E+12,27,cart,200,OK,Idlers 2-106,text,TRUE,,1843,117,156,180,http://localhost/cart,27,0,0,,
1.65547E+12,257,Login,200,OK,Workers 1-12,text,TRUE,,3192,820,24,180,http://localhost/login,257,0,1,,
1.65547E+12,217,Main menu,200,OK,Idlers 2-85,text,TRUE,,802,113,156,180,http://localhost/,217,0,1,,
1.65547E+12,13,cart,200,OK,Idlers 2-19,text,TRUE,,1842,117,157,182,http://localhost/cart,13,0,0,,
1.65547E+12,342,Login,200,OK,Workers 1-8,text,TRUE,,3191,834,25,182,http://localhost/login,342,0,0,,
1.65547E+12,72,cart,200,OK,Idlers 2-41,text,TRUE,,1843,117,159,184,http://localhost/cart,72,0,0,,
1.65547E+12,391,Main menu,200,OK,Idlers 2-30,text,TRUE,,801,113,159,184,http://localhost/,391,0,1,,
1.65547E+12,68,cart,200,OK,Idlers 2-23,text,TRUE,,1844,117,159,184,http://localhost/cart,68,0,0,,
1.65547E+12,11,profile,200,OK,Idlers 2-106,text,TRUE,,3673,120,159,184,http://localhost/profile,11,0,0,,
1.65547E+12,6,profile,200,OK,Idlers 2-41,text,TRUE,,3673,120,160,185,http://localhost/profile,6,0,0,,
1.65547E+12,90,cart,200,OK,Idlers 2-47,text,TRUE,,1842,117,161,186,http://localhost/cart,90,0,0,,
1.65547E+12,278,Main menu,200,OK,Idlers 2-70,text,TRUE,,800,113,161,186,http://localhost/,278,0,0,,
1.65547E+12,462,Main menu,200,OK,Idlers 2-10,text,TRUE,,801,113,162,187,http://localhost/,462,0,1,,
1.65547E+12,302,Main menu,200,OK,Idlers 2-63,text,TRUE,,802,113,162,187,http://localhost/,302,0,1,,
1.65547E+12,321,Main menu,200,OK,Idlers 2-57,text,TRUE,,800,113,162,187,http://localhost/,321,0,0,,
1.65547E+12,450,Main menu,200,OK,Idlers 2-15,text,TRUE,,801,113,163,188,http://localhost/,450,0,1,,
1.65547E+12,442,Main menu,200,OK,Idlers 2-18,text,TRUE,,801,113,164,190,http://localhost/,442,0,1,,
1.65547E+12,420,Main menu,200,OK,Idlers 2-26,text,TRUE,,800,113,165,191,http://localhost/,420,0,0,,
1.65547E+12,406,Main menu,200,OK,Idlers 2-31,text,TRUE,,802,113,165,191,http://localhost/,406,0,0,,
1.65547E+12,452,Main menu,200,OK,Idlers 2-16,text,TRUE,,801,113,165,191,http://localhost/,452,0,1,,
1.65547E+12,434,Main menu,200,OK,Idlers 2-22,text,TRUE,,802,113,165,191,http://localhost/,434,0,1,,
1.65547E+12,188,Main menu,200,OK,Idlers 2-104,text,TRUE,,803,113,165,191,http://localhost/,188,0,1,,
1.65547E+12,344,Main menu,200,OK,Idlers 2-53,text,TRUE,,801,113,165,191,http://localhost/,344,0,1,,
1.65547E+12,355,Main menu,200,OK,Idlers 2-49,text,TRUE,,802,113,166,192,http://localhost/,355,0,0,,
1.65547E+12,336,Main menu,200,OK,Idlers 2-56,text,TRUE,,802,113,167,193,http://localhost/,336,0,1,,
1.65547E+12,330,Main menu,200,OK,Idlers 2-58,text,TRUE,,801,113,167,193,http://localhost/,330,0,1,,
1.65547E+12,270,Main menu,200,OK,Idlers 2-78,text,TRUE,,801,113,167,193,http://localhost/,270,0,0,,
1.65547E+12,106,cart,200,OK,Idlers 2-17,text,TRUE,,1843,117,167,193,http://localhost/cart,106,0,0,,
1.65547E+12,313,Main menu,200,OK,Idlers 2-65,text,TRUE,,802,113,168,194,http://localhost/,313,0,0,,
1.65547E+12,15,cart,200,OK,Idlers 2-63,text,TRUE,,1842,117,168,194,http://localhost/cart,15,0,0,,
1.65547E+12,319,Main menu,200,OK,Idlers 2-74,text,TRUE,,801,113,180,208,http://localhost/,319,0,1,,
1.65547E+12,363,Main menu,200,OK,Idlers 2-60,text,TRUE,,801,113,180,208,http://localhost/,363,0,0,,
1.65547E+12,470,Main menu,200,OK,Idlers 2-25,text,TRUE,,801,113,181,209,http://localhost/,470,0,1,,
1.65547E+12,392,Main menu,200,OK,Idlers 2-51,text,TRUE,,801,113,181,209,http://localhost/,392,0,0,,
1.65547E+12,507,Main menu,200,OK,Idlers 2-14,text,TRUE,,801,113,182,210,http://localhost/,507,0,1,,
1.65547E+12,379,Login,200,OK,Workers 1-10,text,TRUE,,3192,789,29,213,http://localhost/login,378,0,0,,
1.65547E+12,475,Main menu,200,OK,Idlers 2-27,text,TRUE,,801,113,185,214,http://localhost/,475,0,1,,
1.65547E+12,534,Main menu,200,OK,Idlers 2-8,text,TRUE,,800,113,185,214,http://localhost/,534,0,2,,
1.65547E+12,296,Main menu,200,OK,Idlers 2-87,text,TRUE,,801,113,186,215,http://localhost/,296,0,0,,
1.65547E+12,233,cart,200,OK,Idlers 2-96,text,TRUE,,1843,117,189,218,http://localhost/cart,233,0,0,,
1.65547E+12,159,cart,200,OK,Idlers 2-38,text,TRUE,,1843,117,189,218,http://localhost/cart,159,0,0,,
1.65547E+12,119,cart,200,OK,Idlers 2-84,text,TRUE,,1843,117,191,220,http://localhost/cart,119,0,0,,
1.65547E+12,343,Login,200,OK,Workers 1-13,text,TRUE,,3194,810,30,223,http://localhost/login,343,0,0,,
1.65547E+12,254,Main menu,200,OK,Idlers 2-109,text,TRUE,,803,113,194,224,http://localhost/,254,0,0,,
