timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,
1.65531E+12,906,Login,200,OK,Workers 1-59,text,TRUE,,3194,815,300,459,http://localhost/login,906,0,0,,,,
1.65531E+12,979,Login,200,OK,Workers 1-35,text,TRUE,,3192,825,300,459,http://localhost/login,979,0,1,,,,
1.65531E+12,996,Login,200,OK,Workers 1-30,text,TRUE,,3194,830,300,457,http://localhost/login,996,0,0,,,,
1.65531E+12,511,Login,200,OK,Workers 1-194,text,TRUE,,3196,786,300,458,http://localhost/login,511,0,1,,,,
1.65531E+12,1030,Login,200,OK,Workers 1-23,text,TRUE,,3193,820,300,457,http://localhost/login,1030,0,1,,,,
1.65531E+12,942,Login,200,OK,Workers 1-55,text,TRUE,,3194,785,300,455,http://localhost/login,942,0,1,,,,
1.65531E+12,995,Login,200,OK,Workers 1-40,text,TRUE,,3194,785,300,455,http://localhost/login,994,0,1,,,,
1.65531E+12,877,Login,200,OK,Workers 1-80,text,TRUE,,3194,795,300,455,http://localhost/login,877,0,0,,,,
1.65531E+12,1052,Login,200,OK,Workers 1-22,text,TRUE,,3192,820,300,456,http://localhost/login,1052,0,1,,,,
1.65531E+12,579,Login,200,OK,Workers 1-185,text,TRUE,,3195,821,300,455,http://localhost/login,579,0,0,,,,
1.65531E+12,1008,Login,200,OK,Workers 1-43,text,TRUE,,3193,820,300,455,http://localhost/login,1008,0,1,,,,
1.65531E+12,1054,Login,200,OK,Workers 1-28,text,TRUE,,3192,815,300,454,http://localhost/login,1054,0,1,,,,
1.65531E+12,1008,Login,200,OK,Workers 1-45,text,TRUE,,3194,785,300,453,http://localhost/login,1008,0,1,,,,
1.65531E+12,947,Login,200,OK,Workers 1-66,text,TRUE,,3193,825,300,453,http://localhost/login,947,0,0,,,,
1.65531E+12,1039,Login,200,OK,Workers 1-37,text,TRUE,,3194,810,300,453,http://localhost/login,1039,0,1,,,,
