timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1655465385429,1,Register,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-178,text,false,,2328,0,173,310,http://localhost/register,0,0,1
1655465385428,2,Open store,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-177,text,false,,2628,0,173,310,http://localhost/openStore,0,0,2
1655465385430,0,Login,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-178,text,false,,2328,0,174,310,http://localhost/login,0,0,0
1655465385430,0,logout,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-177,text,false,,2628,0,174,311,http://localhost/logout,0,0,0
1655465385430,0,Debug Sampler,200,OK,Workers 1-177,text,true,,444,0,174,311,null,0,0,0
1655465385430,1,Open store,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-178,text,false,,2628,0,173,310,http://localhost/openStore,0,0,1
1655465385431,0,Register,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-179,text,false,,2328,0,173,310,http://localhost/register,0,0,0
1655465385431,1,Login,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-179,text,false,,2328,0,173,310,http://localhost/login,0,0,1
1655465385431,1,logout,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-178,text,false,,2628,0,173,310,http://localhost/logout,0,0,1
1655465385432,0,Debug Sampler,200,OK,Workers 1-178,text,true,,444,0,173,309,null,0,0,0
1655465385432,1,Open store,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-179,text,false,,2628,0,172,308,http://localhost/openStore,0,0,1
1655465385433,0,logout,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-179,text,false,,2628,0,172,309,http://localhost/logout,0,0,0
1655465385433,1,Debug Sampler,200,OK,Workers 1-179,text,true,,444,0,172,309,null,0,0,0
1655465385435,1,Register,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-180,text,false,,2328,0,172,309,http://localhost/register,0,0,1
1655465385436,0,Login,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-180,text,false,,2328,0,172,310,http://localhost/login,0,0,0
1655465385437,0,Open store,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-180,text,false,,2628,0,173,310,http://localhost/openStore,0,0,0
1655465385438,1,Register,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-181,text,false,,2328,0,173,310,http://localhost/register,0,0,1
1655465385438,1,logout,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-180,text,false,,2628,0,173,309,http://localhost/logout,0,0,1
1655465385439,0,Debug Sampler,200,OK,Workers 1-180,text,true,,444,0,173,309,null,0,0,0
1655465385439,1,Login,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-181,text,false,,2328,0,172,308,http://localhost/login,0,0,1
1655465385440,1,Open store,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-181,text,false,,2628,0,172,308,http://localhost/openStore,0,0,1
1655465385441,1,logout,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-181,text,false,,2628,0,173,310,http://localhost/logout,0,0,1
